name;img;code
Expression;p_15.png;colorRampPalette(c('blue', 'white', 'red'))(50)
Methylation;p_16.png;colorRampPalette(c('blue', 'black', 'yellow'))(50)
Viridis;p_1.png;viridis(10)
Plasma;p_2.png;viridis(10, option = 'plasma')
Inferno;p_3.png;viridis(10, option = 'inferno')
Magma;p_4.png;viridis(10, option = 'magma')
Blues;p_5.png;brewer.pal(10, 'Blues')
YlOrRd;p_6.png;brewer.pal(10, 'YlOrRd')
RdYlBu;p_7.png;brewer.pal(10, 'RdYlBu')
PuOr;p_8.png;brewer.pal(10, 'PuOr')
Rainbow;p_9.png;rainbow(10)
Heat colors;p_10.png;heat.colors(10)
Greens;p_11.png;brewer.pal(10, 'Greens')
BuPu;p_12.png;brewer.pal(10, 'BuPu')
GnBu;p_13.png;brewer.pal(10, 'GnBu')
OrRd;p_14.png;brewer.pal(10, 'OrRd')
